"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Формат 1: строка (raw JSON как строка).","293","Test breeds as string","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestDataTypes","homework_test_data","",""
"Проверяет, что курс валюты не опускался ниже заданного значения за последний год. Использует parametrize и XML-запросы к ЦБ РФ.","989","Currency USD did not drop below 50.0","tests.homework_test_data","Sat Sep 19 21:28:13 UTC 2026","passed","Sat Sep 19 21:28:14 UTC 2026","TestCurrencyRates","homework_test_data","",""
"Проверяет, что курс валюты не опускался ниже заданного значения за последний год. Использует parametrize и XML-запросы к ЦБ РФ.","728","Currency AMD did not drop below 0.1","tests.homework_test_data","Sat Sep 19 21:28:16 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestCurrencyRates","homework_test_data","",""
"","432","Test first breed name","tests.homework_test_data","Sat Sep 19 21:28:12 UTC 2026","passed","Sat Sep 19 21:28:13 UTC 2026","TestBreeds","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","1","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"","156","Test all breeds","tests.homework_test_data","Sat Sep 19 21:28:13 UTC 2026","passed","Sat Sep 19 21:28:13 UTC 2026","TestBreeds","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Способ 2: генерируем имена на лету.","0","Generated names: 100 names, each >= 2 words","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestNamesGenerator","homework_test_data","",""
